NO.,원질문,답변예시 (현업작성필요),비고,구분
1,"변액보험 적립금 조회해줘, 어제 펀드 변경했는데 잘못해서 다시 바꾸고 싶은데 가능한가요?","적립은 00원 입니다.
펀드변경(적립금) 재 신청은 신청일+4엽업일부터 신청 가능합니다.",,API+RAG
2,"변액보험 투입비율 확앤해주세요, 조금전 투입비율 변경했는데 다시 변경할 수 있나요?","현재 투입비율은 ooo형 00%입니다.
펀드 투입비율 재 신청은 하루에 한번만 신청이 가능합니다. ",,API+RAG
3,변액보험 투입비율 조회해주세요. 펀드는 최대 몇 개까지 비율 설정 가능할까요?,"현재 투입비율은 ooo형 00%입니다.
펀드 운영 기준은 기본보험료 + 추가보험료를 합하여 7개까지 운영 가능합니다. 단 변액연금은 제외입니다. ",,API+RAG
4,마지막 펀드변경한 날짜가 언제며 펀드변경은 몇번까지 할 수 있는지 확인해줘,"[{상품명}] 계약의 마지막 펀드 변경 일자는 [yyyy.mm.dd]일 입니다. 
펀드 변경 신청 횟수는 보험년도 기준 연 12회까지 가능합니다. 기본보험료 적립금과 추가납입보험료 적립금를 별도로 설정할 수 있으며 이를 합산한 횟수입니다. 다만, 상품별로 가능횟수가 다를 수 있습니다.",,API+RAG
5,현재 투입비율 조회와 추가납입보험료 투입비율 설정안했는데 추가납입시 어디로 투입되는지 확인해줘,[{상품명}] 계약의 추가납입 보험료의 투입비율을 oooo형 00%로 설정되어 있습니다.,,API+RAG
6,자동재분배가 뭔지 알려주고 나도 신청되어있는지 확인해줘,"[{상품명}] 계약은 펀드자동재분배 (신청이 되어있습니다/ 신청되어 있지 않습니다.)
펀드자동재분배란, 계약의 적립금을 재배분 시점(6개월마다 계약해당일)의 투입비율로 적립금을 다시 배분하는 것입니다. 자동재분배는 고객의 투자성향 및 위험선호도를 지속적으로 일관되게 유지하는데 그 목적이 있습니다. 따라서 고객님의 투자 목적에 따라 선택하시면 됩니다.",,API+RAG
7,보험료 자동이체일이 언제지? 혹시 지금 투입비율 변경하면 이번달 보험료는 변경된 투입비율로 들어가나?,"[{상품명}] 계약의 보험료 자동이체일은 00일 입니다.
자동이체일 이전 투입비율 변경시 당월보험료부터 투입비율 변경되어 투입되고, 자동이체일 이후 투입비율 변경시 익월보험료부터 투입비율 변경되어 투입됩니다.",,API+RAG
8,변액보험 실효됬는지 조회해주고 부활신청하면 부활보험료는 어떻게 투입되나요?,"[{상품명}] 계약은 실효 상태입니다.
부활 신청시 부활 보험료는 부활 승낙일 기준가(종가)로 투입됩니다.

계약상태가 정상인경우, 
[{상품명}] 계약은 정상유지 상태입니다.",,API+RAG
9,변액보험 투입비율 확인해주세요. 조금전 투입비율 변경했는데 다시 변경할수 있나요?,"[{상품명}] 계약의 투입비율은 ㅇㅇ형 00%, ㅇㅇ형 00% 입니다.
펀드투입비율 재 신청은 하루에 한번 신청 가능합니다.",,API+RAG
10,펀드별 적립금 조회해주고 조금전 펀드변경했는데 취소가능하나요?,"[{상품명}] 계약의 적립금은 ㅇㅇ형 00원, ㅇㅇ형 00원, ㅇㅇ형 00원 입니다.
모든 펀드관련 변경은 접수 후 취소가 불가능합니다.",,API+RAG
11,펀드변경한 이력 확인요청과 적립금이전하면 언제 투입되는지 확인해줘,"[{상품명}] 계약의 펀드변경한 이력은 아래와 같습니다.
00년00월00일 적립금이전 
00년00월00일 투입비율변경 
00년00월00일 적립금이전
적립금 이전은 '신청일+3영업일 종가'로 투입됩니다.",,API+RAG
12,"자동재분배 신청되어있는지 확인해주고, 자동재분배는 신청횟수제한이 있나요?","[{상품명}] 계약은 펀드자동재분배 (신청이 되어있습니다/ 신청되어 있지 않습니다.)
자동재분배는 보험년도 기준 연 2회, 하루에 한번 신청 가능합니다.",,API+RAG
13,"자동재분배 신청되어있는지 확인해주고, 자동재분배는 적용되는 종가는 어떻게 되나요?","[{상품명}] 계약은 펀드자동재분배 (신청이 되어있습니다/ 신청되어 있지 않습니다.)
자동재분배는 실행일의 기준가격 적용하며, 휴일인 경우에는 익영업일 기준가격 적용합니다.",,API+RAG
14,"변액 적립금 조회해주고, 혹시 펀드비율변경하고 자동재분배 같이 신청가능하나요?","[{상품명}] 계약의 적립금은 00원입니다.
펀드투입비율변경, 펀드변경(적립금이전), 자동재분배 동시에 접수 가능합니다.",,API+RAG
15,"현재 투입비율 조회해주고, 투입비율 변경할때 최소 몇%이상 해야되는지 알려줘","[{상품명}] 계약의 투입비율은 ㅇㅇ형 00%, ㅇㅇ형 00% 입니다.
펀드투입비율은 10%이상 1%단위로 신청가능합니다.",,API+RAG
16,가입보험 보험료 자동이체 이체일이 언제인가요? 변경할 계좌에서 자동이체 되게 하려면 언제까지 변경신청해야하나요?,"[{상품명}] 계약의 보험료 자동이체일은 00일 입니다.
희망하는 이체일 -4영업일 전에 변경해야 변경후 계좌에서 출금됩니다. ",,API+RAG
17,가입한 보험의 자동이체 계좌번호 확인해주세요. 자동이체 예금주 범위가 어떻게 되나요?,"[{상품명}] 계약의 보험료 자동이체 계좌번호는 [{계좌번호 마스킹기준]}입니다.
자동이체 예금주 범위는 계약자 본인, 계약자의 배우자,직계존비속,형제자매, 시부모, 장인/장모, 사위, 며느리 입니다.",,API+RAG
18,가입한 보험의 자동이체 계좌번호 확인해주세요. 평생계좌로 변경이 안되나요?,"[{상품명}] 계약의 보험료 자동이체 계좌번호는 [{계좌번호 마스킹기준]}입니다.
평생계좌는 자동이체 등록이 불가합니다.",,API+RAG
